,Var_5_15_0.01_0.9_10
AL,0.045694128
CU,0.064928751
ZN,0.039289076
SN,0.003126092
NI,0.058111379
PB,0.013747402
AG,-0.01736171
AU,0.093047358
RU,0.044009652
MA,0.101038249
PP,0.093567648
TA,0.058339985
L,0.108598181
V,0.076412567
BU,0.097883834
SC,0.080131243
FU,0.119748518
SP,0.100746535
UR,0.085427416
EG,0.163833101
SA,
EB,
PG,
PF,
M,0.006027683
RM,0.066956324
P,0.082451273
Y,0.07668643
OI,0.049989422
C,0.025558948
CS,0.038001205
JD,0.023221389
SR,0.104826768
A,0.056965191
CF,0.095825565
AP,0.056950264
CJ,0.019499495
LH,
HC,0.031692775
J,0.084551191
I,0.035552887
SF,0.024480778
RB,0.056486213
ZC,0.018425765
JM,0.129688296
SM,0.105163351
FG,0.070874954
SS,
